SourceCommonName,cnt
iheart.com,256606
zazoom.it,153251
haberler.com,60174
tvguide.co.uk,59804
yahoo.com,51391
indiatimes.com,47475
inewsgr.com,44642
tribunnews.com,44262
baomoi.com,41313
163.com,36468
naslovi.net,31164
dostor.org,30788
baidu.com,30272
globo.com,28762
news.yam.md,28365
kompas.com,28285
finanznachrichten.de,27852
index.hr,24836
sina.com.cn,23050
el-balad.com,22921
ansa.it,20611
tickerreport.com,19835
china.com,19429
merkur.de,18765
ltn.com.tw,18702
themarketsdaily.com,18310
dailypolitical.com,17775
malatyaguncel.com,17714
sapo.pt,17692
vetogate.com,16958
boredpanda.com,16909
hna.de,16784
manilatimes.net,16605
yam.com,16067
news.mail.ru,15377
uol.com.br,15058
openpr.com,14550
antaranews.com,14435
time.mk,14407
thehindu.com,13783
abc.es,13602
udn.com,13446
lenta.ru,13333
dailymail.co.uk,13295
birgun.net,13079
larazon.es,13031
allafrica.com,12780
mersinhaber.com,12755
itbear.com.cn,12647
euronews.com,12590
shorouknews.com,12553
justjared.com,12362
24tv.ua,12254
moneycontrol.com,11851
cna.com.tw,11821
ettoday.net,11727
welt.de,11674
bignewsnetwork.com,11602
europapress.es,11549
zol.com.cn,11380
az-online.de,11315
kreiszeitung.de,11241
sudouest.fr,11151
liputan6.com,11088
indianexpress.com,10855
setn.com,10603
rt.com,10437
miragenews.com,10393
maville.com,10213
aninews.in,10162
chinatimes.com,10092
mirror.co.uk,9923
drimble.nl,9831
ifeng.com,9783
newkerala.com,9649
viva.co.id,9599
finanzen.net,9536
lavozdegalicia.es,9455
zeit.de,9383
oem.com.mx,9370
n-tv.de,9315
obozrevatel.com,9278
hindustantimes.com,9236
elperiodico.com,9144
marketscreener.com,9121
cnfol.com,9048
heraldcorp.com,8800
elwatannews.com,8780
newspim.com,8762
vesti.ru,8655
aif.ru,8643
blic.rs,8441
zonebourse.com,8408
life.ru,8376
ilmessaggero.it,8264
prnewswire.com,8261
freepressjournal.in,8166
20minutos.es,8129
jagonews24.com,8089
dw.com,8063
ria.ru,8025
stiripesurse.ro,7970
focus-news.net,7968
edaily.co.kr,7892
news.de,7879
aa.com.tr,7872
elconfidencial.com,7781
kauno.diena.lt,7604
cadena3.com,7595
almasryalyoum.com,7584
ladepeche.fr,7578
diariosigloxxi.com,7507
wenxuecity.com,7497
prokerala.com,7433
badische-zeitung.de,7369
forbes.com,7342
webindia123.com,7299
bursadabugun.com,7195
newsit.gr,7180
winnipegfreepress.com,7163
bd-pratidin.com,7158
express.co.uk,7143
thestar.com.my,7127
bisnis.com,7102
fool.com,7095
kommersant.ru,7076
deperu.com,7066
jpnn.com,7064
bankingnews.gr,7052
vz.ru,7049
unn.ua,7048
interfax.com.ua,7003
dailynews.co.th,6971
aol.co.uk,6958
iz.ru,6957
aktiencheck.de,6941
elpais.com,6931
ensonhaber.com,6875
haberturk.com,6874
larepublica.pe,6864
eastmoney.com,6756
jornaldebrasilia.com.br,6733
sabah.com.tr,6715
informer.rs,6709
dailyinqilab.com,6702
lne.es,6695
republika.co.id,6592
newsbeast.gr,6581
haber7.com,6571
jugantor.com,6560
tele.at,6532
andaluciainformacion.es,6514
koran-jakarta.com,6513
argaam.com,6467
news18.com,6441
em.com.br,6440
mundodeportivo.com,6427
yeniakit.com.tr,6355
lrytas.lt,6347
mk.ru,6346
korrespondent.net,6331
english.news.cn,6325
zocalo.com.mx,6320
meinbezirk.at,6310
cfi.net.cn,6292
protothema.gr,6248
yle.fi,6248
tz.de,6219
politika.rs,6218
lavanguardia.com,6184
tn.com.ar,6168
iefimerida.gr,6119
ura.news,6047
bbc.com,6040
tsn.ua,6032
dantri.com.vn,6028
vietgiaitri.com,6025
focus.de,5985
benzinga.com,5985
vnexpress.net,5978
tanjug.rs,5968
cnn.com,5959
loksatta.com,5922
ig.com.br,5896
ilgazzettino.it,5885
farodevigo.es,5880
telegraf.rs,5818
thanhnien.vn,5813
sozcu.com.tr,5798
wa.de,5797
tribuneindia.com,5795
milliyet.com.tr,5746
dailyjanakantha.com,5746
nieuwsblad.be,5744
tanea.gr,5700
op-online.de,5692
15min.lt,5690
one.co.il,5660
lrt.lt,5659
semana.com,5631
in.gr,5626
mz.de,5616
newsbomb.gr,5600
fnnews.com,5599
t-online.de,5571
navabharat.com,5570
wn.com,5568
excite.co.jp,5565
ilpost.it,5533
theguardian.com,5513
insidermonkey.com,5489
naftemporiki.gr,5468
razon.com.mx,5457
focus.ua,5440
baotintuc.vn,5434
come-on.de,5433
